rider_id,date,location,rides,on_time_rides,cancelled_rides,missed_rides,distance_km,overhead_distance_km,earnings,peak_bonus,waiting_earnings,fuel_cost,idle_minutes,work_hours,customer_rating,avg_speed_kmph,network_downtime
R991MA,2025-07-01,Delhi,18,16,0,0,73.1,16.54,726.6,100,31.96,224.39,51,6.71,4.41,23.11,2
R991MA,2025-07-02,Delhi,8,6,3,1,39.63,9.57,321.33,0,8.8,123.15,98,3.97,4.53,28.26,5
R991MA,2025-07-03,Delhi,16,14,2,1,70.12,8.51,854.04,100,22.91,196.84,42,5.47,4.84,26.91,5
R991MA,2025-07-04,Delhi,10,9,0,0,48.21,6.86,408.44,80,12.62,137.84,69,4.38,4.84,25.24,4
R991MA,2025-07-05,Delhi,24,15,1,0,87.75,7.13,925.68,120,26.7,237.52,48,6.6,4.31,27.46,5
R991MA,2025-07-06,Delhi,,,,,,,,,,,,,,,
R991MA,2025-07-07,Delhi,11,9,1,1,49.71,6.06,464.96,80,14.39,139.6,41,4.57,4.58,20.52,3
R991MA,2025-07-08,Delhi,16,12,0,1,65.21,16.55,633.57,100,14.83,204.65,29,4.64,4.27,26.16,0
R991MA,2025-07-09,Delhi,10,7,3,0,44.4,5.34,442.61,80,10.68,124.52,30,3.41,4.23,24.86,2
R991MA,2025-07-10,Delhi,18,13,2,1,78.93,7.07,826.21,100,27.74,215.27,43,5.58,4.01,27.91,0
R991MA,2025-07-11,Delhi,14,10,1,0,65.58,1.5,741.49,80,21.57,167.9,49,4.71,4.55,29.2,5
R991MA,2025-07-12,Delhi,,,,,,,,,,,,,,,
R991MA,2025-07-13,Delhi,27,19,2,0,100.65,26.33,1065.4,120,36.94,317.85,21,8.81,4.89,21.73,0
R991MA,2025-07-14,Delhi,12,9,1,1,53.07,10.63,629.67,80,14.33,159.44,56,4.82,4.85,23.99,1
R991MA,2025-07-15,Delhi,14,11,1,1,58.32,10.32,534.86,80,11.05,171.81,62,4.29,4.65,29.8,1
R991MA,2025-07-16,Delhi,10,7,3,0,43.91,10.11,437.56,80,16.88,135.22,38,3.98,4.18,23.5,4
R991MA,2025-07-17,Delhi,8,5,1,2,46.46,0.62,528.61,0,7.19,117.85,73,3.6,4.01,27.41,5
R991MA,2025-07-18,Delhi,,,,,,,,,,,,,,,
R991MA,2025-07-19,Delhi,23,18,0,0,87.8,16.19,687.0,120,24.92,260.31,35,6.55,4.75,23.61,3
R991MA,2025-07-20,Delhi,15,9,1,2,71.12,17.4,759.67,80,15.98,221.57,42,4.93,4.35,29.88,2
R991MA,2025-07-21,Delhi,13,8,1,0,60.98,13.5,637.8,80,18.24,186.42,42,4.86,4.19,25.62,2
R991MA,2025-07-22,Delhi,18,11,2,1,77.5,17.98,703.34,100,20.56,238.99,60,6.63,4.35,24.39,0
R991MA,2025-07-23,Delhi,18,12,1,2,77.43,9.7,794.01,100,26.63,218.09,48,7.11,4.22,20.1,5
R991MA,2025-07-24,Delhi,8,6,2,0,37.21,3.96,369.95,0,11.18,103.05,100,4.14,4.46,25.66,5
R991MA,2025-07-25,Delhi,,,,,,,,,,,,,,,
R991MA,2025-07-26,Delhi,18,14,2,2,75.84,17.44,629.79,100,33.38,233.48,53,6.21,4.77,28.7,3
R991MA,2025-07-27,Delhi,28,21,1,2,106.94,3.51,1086.18,120,20.33,276.47,24,6.87,4.76,22.05,5
R991MA,2025-07-28,Delhi,18,12,0,2,77.48,18.04,654.46,100,22.51,239.08,37,6.91,4.06,21.27,2
R991MA,2025-07-29,Delhi,17,13,0,2,72.03,10.6,730.36,100,20.13,206.84,35,4.95,4.86,27.6,2
R991MA,2025-07-30,Delhi,10,8,1,2,44.24,1.23,441.55,80,7.22,113.81,43,3.04,4.61,25.44,2
R991MA,2025-07-31,Delhi,,,,,,,,,,,,,,,
R991MA,2025-08-01,Delhi,18,14,1,2,73.57,20.85,713.34,100,29.71,236.33,32,6.42,4.43,23.2,3
R991MA,2025-08-02,Delhi,27,23,2,0,102.63,29.13,838.59,120,21.15,329.81,40,7.32,4.63,26.18,2
R991MA,2025-08-03,Delhi,26,22,2,3,93.56,16.63,1028.92,120,18.72,275.82,36,7.22,4.66,21.27,2
R991MA,2025-08-04,Delhi,9,7,2,0,37.9,2.93,331.2,0,15.28,102.19,51,3.71,4.65,22.34,4
R991MA,2025-08-05,Delhi,17,13,0,1,68.84,17.5,666.23,100,15.69,216.13,41,5.22,4.03,24.4,1
R991MA,2025-08-06,Delhi,,,,,,,,,,,,,,,
R991MA,2025-08-07,Delhi,18,15,2,1,72.91,17.0,731.2,100,16.92,225.06,27,6.13,4.45,20.25,5
R991MA,2025-08-08,Delhi,12,9,1,1,53.24,9.18,599.99,80,9.63,156.24,51,4.72,4.32,20.72,2
R991MA,2025-08-09,Delhi,28,25,1,3,101.88,16.46,861.38,120,25.5,296.23,40,7.23,4.74,23.73,0
R991MA,2025-08-10,Delhi,28,24,0,0,101.3,13.49,814.41,120,33.54,287.34,22,8.01,4.87,23.39,5
R991MA,2025-08-11,Delhi,17,12,3,2,67.98,15.01,578.26,100,17.12,207.71,54,5.0,4.07,29.23,0
R991MA,2025-08-12,Delhi,18,12,2,2,75.99,4.83,712.41,100,19.35,202.31,33,4.68,4.01,27.52,5
R991MA,2025-08-13,Delhi,,,,,,,,,,,,,,,
